year,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec,Jaar
2011,,,,,,,,,,2.8999989232280976,-4.054441448789337,0.7836113257368771,-0.49837766102873715
2012,11.975823549149478,6.773730837376046,10.348610119200563,-1.870867997877912,-9.98460957522923,7.262497089853581,2.1345887294243804,7.031593157603666,5.027922608681101,-5.074314265190861,4.196211322562515,-2.4256242642675896,38.509398362572234
2013,7.718542622491342,-0.2970446298069307,5.8074979920474945,0.07491587001273725,2.8044149736159873,-3.9157462851428737,9.977748440239708,-3.562423269974857,3.679061217632329,6.5105067942270445,5.388505736991789,3.689487276402259,43.76949949886293
2014,-5.4358011031041205,6.50180471274564,-1.3279991587966444,0.5905264736204119,6.790210082379589,5.328589974970455,-1.6781362162537228,7.674593835601251,-2.0910067929849174,3.098757769648075,5.595785743846227,-3.625135485355191,22.281897906252258
2015,1.7881654534910307,3.370711705348328,-2.900625113308941,3.983375173000092,4.098235605827183,-4.403602440324816,1.329832078256854,-1.0670243990768657,0.6008514769759721,-0.6370781720161922,-4.1408997476499625,-0.7659201200532428,0.7763519237252492
2016,1.8302852521646429,3.3075768484064794,8.706519630938491,-1.7055464728073733,6.875152740606061,-5.000197964690923,11.271901569208676,2.5089479713097385,1.8328863593745526,-1.8500174604787034,4.63854174630558,2.6963150557730353,39.81871098086658
2017,8.594171894409408,4.897414771039177,3.809032930412104,2.6756701029420515,4.225515920236234,-0.5934903844684092,5.5157162359357415,-0.34013236082264253,3.1938446021657185,6.19914343144603,3.162005351162689,2.9156031713786668,53.91329514364236
2018,6.234346763640186,-2.9355329678695807,1.5498145397760732,-1.4654048012134324,2.985220925790344,0.277537682313711,5.626186478103956,6.01319340299149,1.351647969043368,-14.629345809609918,-1.3290368302930844,-6.687303891235596,-4.945493765833431
2019,7.783708688579649,4.944726272847655,4.022062943021076,7.070077938600949,-11.478897800943688,10.163505147527774,3.394466594662049,-5.116113808275092,2.968647897409382,6.275024440586874,6.9285710821824775,4.685395884768839,47.63785583778501
2020,-2.5773524595440023,1.9832559239365999,-12.34620376256973,0.37433149783296926,5.300516078269979,-2.5210914619468228,6.172755014104525,10.425236691440043,-5.694211283261952,-2.96123551446279,18.378477791734692,4.5883232304699595,19.19124088627042
2021,-2.183169901577997,4.720349469148477,7.8799181980376165,7.645484163946947,2.234072513087071,7.357821077188587,1.632729704604774,6.381893454995291,-7.383999007745334,12.124490076320482,0.1181409161777669,5.522347319233267,54.865783297845994
2022,-11.507855578202197,2.4152772201206263,0.7910045612504524,0.8681800920239402,-0.01103608397788891,-0.5940205640440732,3.7763691119194753,-8.252065304824718,-3.455510820083063,0.5794056133169745,9.284913664133153,-7.457804134926082,-14.36696503578563
2023,12.955780925204197,-1.772914193760533,5.866968192493793,3.535741821240035,6.4995693533173915,12.07066037332607,5.206603826499001,-1.2686482233296714,-6.461380841171993,0.8005891922414854,15.621770906091626,6.932075380026048,75.76403035039014
2024,1.9517193800850263,6.968314142700338,2.433824329554457,-5.35914962655265,8.694914836786083,6.210825315610657,-2.1243146575424254,5.56687455705589,-1.0216174257741462,-3.878179725013009,10.449291998668553,-0.7827528313307242,31.4815046798659
2025,2.4889787983873424,-2.954068119370812,-8.443341052613974,3.3394391031842385,10.805792667752613,7.659256105517254,4.347785987633523,3.587707957622688,6.173300048298658,0.1511108882543244,-1.8080242099191013,2.6421425195750414,30.04349516675544
2026,0.376147174009378,-3.103961967450297,-6.715482415626573,17.32680560200437,11.3627538707894,0.5265636080513447,-2.2003276298221186,,,,,,16.54712282414583
