month,TV,DR,STR,PORT,SPY
2021-01-31,-3.93,-0.83,-1.92,-2.18,-1.02
2021-02-28,12.16,-0.72,2.78,4.72,2.78
2021-03-31,16.61,2.31,4.54,7.88,4.54
2021-04-30,5.75,11.84,5.29,7.65,5.29
2021-05-31,4.1,-2.82,0.66,0.77,0.66
2021-06-30,7.14,12.75,2.24,7.36,2.24
2021-07-31,-3.19,5.56,2.44,1.63,2.44
2021-08-31,7.7,8.39,2.98,6.38,2.98
2021-09-30,-6.09,-11.43,-4.66,-7.38,-4.66
2021-10-31,13.24,16.17,7.02,12.12,7.02
2021-11-30,-12.2,0.68,-1.12,-4.24,-0.8
2021-12-31,10.8,3.02,2.77,5.52,4.62
2022-01-31,-7.77,-18.31,-8.16,-11.51,-5.27
2022-02-28,6.3,0.96,0.05,2.42,-2.95
2022-03-31,3.45,0.69,-1.76,0.79,3.76
2022-04-30,-2.72,3.23,2.12,0.87,-8.78
2022-05-31,-0.05,0.0,0.0,-0.01,0.23
2022-06-30,-1.82,0.0,0.0,-0.59,-8.25
2022-07-31,-2.51,5.97,8.08,3.78,9.21
2022-08-31,-5.67,-12.16,-6.69,-8.25,-4.08
2022-09-30,-4.95,0.01,-5.44,-3.46,-9.24
2022-10-31,-3.07,2.57,2.26,0.58,8.13
2022-11-30,15.45,5.17,7.17,9.28,5.56
2022-12-31,2.3,-18.08,-5.76,-7.46,-5.76
2023-01-31,11.5,21.2,6.29,12.96,6.29
2023-02-28,-1.44,-1.74,-2.51,-1.77,-2.51
2023-03-31,0.38,18.79,3.71,7.45,3.71
2023-04-30,8.71,0.34,1.6,3.54,1.6
2023-05-31,4.14,15.24,0.46,6.5,0.46
2023-06-30,17.33,12.32,6.48,12.07,6.48
2023-07-31,4.96,7.22,3.27,5.21,3.27
2023-08-31,1.65,-3.98,-1.63,-1.27,-1.63
2023-09-30,-4.44,-10.21,-4.74,-6.46,-4.74
2023-10-31,-6.83,2.09,-0.19,-1.63,-2.17
2023-11-30,16.32,21.71,9.07,15.62,9.13
2023-12-31,5.49,10.72,4.57,6.93,4.57
2024-01-31,1.17,2.89,1.59,1.95,1.59
2024-02-29,5.5,10.03,5.22,6.97,5.22
2024-03-31,2.16,1.74,3.27,2.43,3.27
2024-04-30,-2.82,-9.33,-4.03,-5.36,-4.03
2024-05-31,8.69,12.36,5.06,8.69,5.06
2024-06-30,3.11,12.11,3.53,6.21,3.53
2024-07-31,-3.55,-4.31,1.21,-2.12,1.21
2024-08-31,-0.8,1.57,2.71,1.32,2.34
2024-09-30,-6.82,4.35,2.1,-0.12,2.1
2024-10-31,-8.38,-2.4,-0.89,-3.88,-0.89
2024-11-30,15.27,10.1,5.96,10.45,5.96
2024-12-31,-1.13,1.0,-2.43,-0.78,-2.41
2025-01-31,1.08,3.48,2.69,2.49,2.69
2025-02-28,-1.66,-6.0,-1.27,-2.95,-1.27
2025-03-31,-8.04,-15.56,-5.57,-9.73,-5.57
2025-04-30,-5.43,-1.11,2.78,-1.19,-0.87
2025-05-31,8.07,18.23,6.28,10.81,6.28
2025-06-30,5.37,12.52,5.14,7.66,5.14
2025-07-31,6.41,4.3,2.3,4.35,2.3
2025-08-31,7.52,1.18,2.05,3.59,2.05
2025-09-30,4.51,10.48,3.56,6.17,3.56
2025-10-31,-8.32,7.51,1.75,0.15,2.38
2025-11-30,-0.07,-5.06,-0.25,-1.81,0.19
2025-12-31,10.01,-1.92,0.08,2.64,0.08
2026-01-31,-2.31,1.85,1.47,0.38,1.47
2026-02-28,-3.36,-5.19,-0.86,-3.1,-0.86
2026-03-31,-13.6,-7.97,-5.02,-8.86,-4.94
2026-04-30,12.56,30.24,9.98,17.33,10.51
2026-05-31,7.73,21.48,5.26,11.36,5.26
2026-06-30,0.62,-9.43,-3.39,-3.98,-1.03
